pincode,area_name,micro_market,taluk,district,planning_authority,approval_body,typical_khata,zone_type,primary_economic_driver,metro_status,strr_proximity,re_typology,investment_tier,water_risk_level,apt_psf_min,apt_psf_max,land_cr_per_acre_min,land_cr_per_acre_max,notes
560059,Amrutahalli / Jakkur,Yelahanka Corridor,Yelahanka,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,Airport Proximity / Residential,Phase_2B,10-15km,Premium Mid-Rise / Villas,Tier1_High_Growth,Medium,6500,10000,0,0,Airport road adjacency; Green Line Phase 2B; strong appreciation expected
560060,Anand Nagar / Hebbal West,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Phase_2B,15-20km,Mid-Rise,Tier2_Stable,Medium,6000,9000,0,0,Hebbal spillover residential; Green Line improving
560061,Vijayanagar / Srinagar,West Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Operational,25km+,Mid-Rise / Independent Houses,Tier3_Slow,High,6000,8500,0,0,Traditional West Bangalore; stable but slow appreciation; Purple Line
560062,Basaveshwara Nagar,North-West Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Premium Residential,Operational,25km+,Premium Mid-Rise / Boutique,Tier2_Stable,High,7500,11000,0,0,Premium BDA layout; Cauvery water coverage; Purple Line
560063,Nagasandra,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Operational,25km+,Affordable Mid-Rise,Tier2_Improving,Medium,5000,7500,0,0,Green Line terminal area; improving access
560064,Yelahanka New Town / Attur,Yelahanka Premium,Yelahanka,Bengaluru Urban,BDA,BBMP,A-Khata,Peri_Urban_High_Value,Airport Corridor / Premium Residential,Phase_2B,8-12km,Premium Apartments / Villas / Branded Plots,Tier1_High_Growth,Medium,7000,12000,2.0,4.5,BDA planned township; 69-133% appreciation FY21-26; NH-44 frontage; airport 22km
560065,Sanjay Nagar / MS Ramaiah area,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Educational / Medical / Residential,Operational,25km+,Premium Mid-Rise,Tier2_Stable,High,7500,11500,0,0,MS Ramaiah Medical cluster; stable institutional demand; Green Line
560066,Whitefield / ITPL / EPIP Zone,East Bangalore Tech Core,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT / GCC / MNC / Luxury Residential,Phase_2A,20-25km,Premium-Luxury High-Rise / Grade A Office,Tier1_Premium,Very_High,9000,15000,0,0,Largest IT cluster; 57% price rise over 5 years; acute water crisis; Phase 2A Metro critical
560067,Hoodi / Brookefields / Whitefield East,East Bangalore Tech,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT / Residential,Phase_2A,20-25km,Premium Apartments / Commercial,Tier1_High_Growth,Very_High,7500,12000,0,0,Whitefield overflow residential; strong rental demand; Phase 2A Metro
560068,Kodigehalli / Jakkur area,Yelahanka Corridor,Yelahanka,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_Transition,Residential / Airport Proximity,Phase_2B,8-12km,Mid-Premium Apartments,Tier1_High_Growth,Medium,6500,9500,0,0,Jakkur aerodrome zone; Green Line Phase 2B transformational
560069,JP Nagar / Bannerghatta Road,South Bangalore Premium,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Peri_Transition,Premium Residential / IT Corridor,Operational,25km+,Premium Villas / High-Rise,Tier1_High_Growth,High,8000,13000,0,0,JP Nagar premium belt; Metro Yellow Line operational; strong end-user demand
560070,DVG Road / Basavanagudi alternate,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Heritage Residential,Operational,25km+,Premium Boutique,Tier2_Stable,High,8000,12000,0,0,Heritage belt; very limited new supply; Yellow Line nearby
560071,Bannerghatta / Begur extended,South Bangalore Periphery,Bangalore South,Bengaluru Urban,BDA,BBMP,A-Khata,Peri_Urban_Transition,Residential / Forest Adjacent,Operational,25km+,Mid-Rise / Eco-Villas,Tier2_Improving,Medium_High,5500,8500,0,0,BNP buffer zone; eco-premium potential; Yellow Line nearby; green corridor premium
560072,Electronic City Phase 1 alternate,South-East Bangalore,Anekal,Bengaluru Urban,BDA / KIADB,BDA,A-Khata,Peri_Urban_Tech,IT / Manufacturing / Residential,Planned,25km+,Mid-Rise Tech Apartments / Industrial,Tier2_Stable,High,5500,8500,0,0,Infosys campus; established IT zone; affordable vs Whitefield; Yellow Line extension
560073,Konanakunte / Uttarahalli,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Peri_Transition,Affordable Residential,Operational,25km+,Affordable Mid-Rise,Tier2_Improving,Medium_High,5000,7500,0,0,Metro Yellow Line improving corridor; Kanakapura Road spillover
560074,Kanakapura Road / Uttarahalli,South Bangalore Metro,Bangalore South,Bengaluru Urban,BBMP / BDA,BBMP,A-Khata,Peri_Urban_High_Value,Premium Residential / Metro Corridor,Operational,25km+,Premium Apartments / Villas / Plotting,Tier1_High_Growth,Medium,6500,10500,1.5,3.5,Yellow Line operational; 100% appreciation potential in 5 years; strong end-user; Total Environment active
560075,Judicial Layout / RR Nagar,South-West Bangalore,Bangalore South,Bengaluru Urban,BDA,BBMP,A-Khata,Peri_Urban_Transition,Affordable / Mid Residential,Operational,25km+,Mid-Rise / Plotting / BDA Layouts,Tier2_Stable,Medium,5500,8000,0,0,BDA planned; Mysore Road proximity; stable improving
560076,Vijayanagar alternate sub-PO,West Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential,Operational,25km+,Mid-Rise,Tier3_Slow,High,5500,8000,0,0,Mature; limited growth; Purple Line
560077,Hennur Road / HBR Layout extended,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT Corridor / Premium Residential,Phase_2A,15-20km,Premium Mid-Rise / Villas,Tier1_High_Growth,Medium,7000,11000,0,0,69-133% price rise since FY21; airport road proximity; emerging luxury; Blue Line Phase 2A
560078,Lingarajapuram / KR Puram partial,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Affordable Residential,Operational,25km+,Affordable Mid-Rise,Tier2_Improving,Medium_High,5000,7500,0,0,KR Puram transition zone; Metro improving; Blue Line
560079,Shampura / Kalyan Nagar,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Affordable Residential,Operational,25km+,Affordable Mid-Rise,Tier2_Improving,Medium_High,4500,7000,0,0,Improving with Metro proximity; Blue Line nearby
560080,Nagawara / HBR Layout,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential / IT Spillover,Phase_2A,15-20km,Mid-Premium Apartments,Tier1_High_Growth,Medium,7000,10500,0,0,Airport road proximity; Phase 2A Metro transformational; Blue Line planned
560081,Thanisandra / Byrathi,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_High_Value,IT Corridor / Premium Residential,Phase_2B,10-15km,Premium Apartments / Villas,Tier1_High_Growth,Medium,8000,13000,0,0,133% price rise since FY21; INR 11000-13000 PSF; hottest northern corridor 2024-26
560082,Sahakara Nagar / Hebbal partial,North Bangalore,Bangalore North,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Residential / Commercial,Phase_2B,15-20km,Mid-Premium Apartments,Tier2_Stable,Medium,7000,10000,0,0,Established residential; airport road access; Green Line Phase 2B
560083,Ramamurthy Nagar,East Bangalore,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core,Affordable Residential / Manufacturing,Operational,25km+,Affordable Mid-Rise,Tier2_Improving,Medium,4500,7000,0,0,Industrial-to-residential transition; improving slowly; Blue Line nearby
560084,KR Puram / Baiyappanahalli,East Bangalore Gateway,Bangalore East,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_Transition,IT Gateway / Residential / Industrial,Operational,20-25km,Affordable-Mid Rise / Commercial,Tier2_Improving,Medium_High,5000,7500,0,0,KR Puram Metro junction; gateway to Whitefield; underpriced vs potential; Blue Line
560085,BTM Layout / Madiwala,South Bangalore Tech,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Urban_Core_High_Value,IT Corridor / Young Professional Residential,Operational,25km+,Premium Mid-Rise / Co-Living / Co-Working,Tier1_Premium,High,8000,12500,0,0,India startup capital residential hub; highest co-living demand; 500+ startups; Green Line
560086,Gottigere / Hongasandra,South Bangalore,Bangalore South,Bengaluru Urban,BDA / GP,BBMP,A-Khata,Peri_Urban_Transition,Affordable Residential,Planned,25km+,Affordable Mid-Rise / Plotting,Tier2_Improving,Medium_High,4500,7000,0,0,Metro Yellow Line extending; improving rapidly; Electronic City proximity
560087,Hulimavu / Arekere,South Bangalore,Bangalore South,Bengaluru Urban,BBMP,BBMP,A-Khata,Peri_Urban_Transition,Affordable / Mid Residential,Planned,25km+,Affordable Mid-Rise,Tier2_Improving,Medium,4500,7000,0,0,Bannerghatta Road proximity; affordable entry; Yellow Line planned extension
560088,Begur Road / Hongasandra extended,South Bangalore,Bangalore South,Bengaluru Urban,BBMP / BDA,BBMP,A-Khata,Peri_Urban_Transition,Affordable Residential,Planned,25km+,Affordable Mid-Rise / Plotting,Tier2_Improving,Medium,4000,6500,0,0,Electronic City and Koramangala catchment; improving slowly
560089,Akshayanagar / Bilekahalli,South Bangalore,Bangalore South,Bengaluru Urban,BDA,BBMP,A-Khata,Peri_Urban_Transition,Affordable / Mid Residential,Planned,25km+,Affordable Mid-Rise / BDA Layouts,Tier2_Improving,Medium,4500,7000,0,0,BDA planned; Metro improving; Electronic City spillover
560090,Jigani,South-East Industrial,Anekal,Bengaluru Urban,KIADB,KIADB,Industrial_Licence,Industrial_Zone,Manufacturing / Auto / Light Industrial,None,25km+,Industrial Land / Warehousing,Tier2_Industrial,Medium,0,0,0,0,KIADB industrial estate; no residential play; auto and pharma manufacturing
560091,Bannerghatta forest fringe,South Bangalore Forest Buffer,Bangalore South,Bengaluru Urban,BDA / Forest Dept,BDA,Special_Permission,Forest_Buffer,Eco-Tourism / Forest Adjacent,None,25km+,Restricted / Eco-Resort Only,Tier3_Restricted,Low,0,0,0,0,Bannerghatta NP buffer; severe development restrictions; NGT enforcement
